Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C13, C14, C15, C16, C2, C5, C8",0402,10,100nF,
"C11, C17",0402,2,4.7uF,
"C3, C4",0402,2,1uF,
"C6, C7",0402,2,10uF,
C9,0402,1,22uf,
"D1, D2, D3, D4, D5",LED_WS2812B-2020_PLCC4_2.0x2.0mm,5,WS2812B-2020,
J1,PinHeader_1x02_P1.00mm_Vertical,1,Conn_01x02_Pin,
J2,PinHeader_2x02_P1.00mm_Vertical,1,Conn_02x02_Odd_Even,
P1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Plug_USB2.0,
"R1, R2",0402,2,5.1k,
"R10, R3, R6, R7",0402,4,10k,
R11,0402,1,2.4k,
"R4, R5",0402,2,22,
"R8, R9",0402,2,4.7k,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,AMS_TSL25911FN,1,TSL25911FN,
U2,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,1,BME680,
U3,SOT-23-5,1,AP2112K-3.3,
U4,ESP32-C6-MINI-1,1,ESP32-C6-MINI-1,
U5,SOT-23-5,1,MCP73831-2-OT,
